=== Broj entiteta po tipovima ===
0: 60
Ukupno različitih tipova: 1

=== Detalji entiteta ===
mRID: 1d4ab247-2289-4e1b-9c04-7ee7b28a9206, name: Winding_0_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846977
mRID: 2e80f627-3cb8-4f7c-a170-ee2d0ce98de4, name: Winding_0_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846977
mRID: 04f9ae2e-a0bf-41e2-8c32-461d5a70fbc8, name: Transformer_0, additional: POWERTR_AUTO: 0
mRID: 5148e362-a195-4aa1-b153-ef1de573ef30, name: Winding_1_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846980
mRID: 90cd5000-d331-4a99-9c6c-b4c9d13dee9a, name: Winding_1_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846980
mRID: 432c9626-592c-4896-b3de-b2ab5576d82c, name: Transformer_1, additional: POWERTR_AUTO: 0
mRID: 9e0bf687-5dc6-4346-94d4-e1eeae21ad67, name: Winding_2_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846983
mRID: 6ebbd0a2-48cd-41ab-b3dd-58865debaacd, name: Winding_2_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846983
mRID: 2b9de3dd-daa5-4934-9547-bd9ad1751278, name: Transformer_2, additional: POWERTR_AUTO: 0
mRID: b503f296-2357-4daa-aec9-e63cd0d69789, name: Winding_3_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846986
mRID: 768e45dc-7f9e-45c3-a3b5-f06522d3bf92, name: Winding_3_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846986
mRID: 5c6d7860-82f8-47f8-a272-8bd6d544d7e8, name: Transformer_3, additional: POWERTR_AUTO: 0
mRID: 47c98202-823e-4234-8ef7-1f7cccdd3261, name: Winding_4_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846989
mRID: 0e88fef6-92b5-4c34-8e84-da28dcf39cfa, name: Winding_4_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846989
mRID: dc74ac9e-ceed-4ef8-b382-69cd70c4b7c4, name: Transformer_4, additional: POWERTR_AUTO: 0
mRID: d6fe4c35-4e24-402a-bece-1a3bd215186d, name: Winding_5_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846992
mRID: 941128c4-55c8-4d69-864b-161876934314, name: Winding_5_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846992
mRID: f71e2ef5-254e-47a2-ada1-1539647edb75, name: Transformer_5, additional: POWERTR_AUTO: 0
mRID: 73edd3c9-99b3-49c7-a01e-ee97553ef70b, name: Winding_6_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846995
mRID: 85690e72-4dfe-4429-a540-219f654881b8, name: Winding_6_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846995
mRID: abb8f0c9-e13e-4311-973d-8a26087efd4e, name: Transformer_6, additional: POWERTR_AUTO: 0
mRID: f86419ab-500d-431e-a1bc-7011dff8242b, name: Winding_7_0, additional: POWERTRWINDING_POWERTRW: 1152921504606846998
mRID: daf5a56e-a3e1-4dcc-9a4e-99e246f3a780, name: Winding_7_1, additional: POWERTRWINDING_POWERTRW: 1152921504606846998
mRID: 99f78e71-1bbd-439a-9596-b3fc1fb4e2b5, name: Transformer_7, additional: POWERTR_AUTO: 0
mRID: b6329921-f498-4140-bf67-bd38f44302d6, name: Winding_8_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847001
mRID: 94de4045-695c-4c9a-8d06-9353c4b1969b, name: Winding_8_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847001
mRID: f4dc5f3a-ec13-4d8c-9bab-df2fce5ea5c2, name: Transformer_8, additional: POWERTR_AUTO: 0
mRID: d7d7c59a-5fa6-4366-b0ae-5b1514cbe860, name: Winding_9_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847004
mRID: d41e4ad8-abe4-4dcf-9925-9d4c0162e718, name: Winding_9_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847004
mRID: 809ab465-bfa1-4672-bca7-0108508e562a, name: Transformer_9, additional: POWERTR_AUTO: 0
mRID: aa5ff201-6cf1-46a0-8445-77b9b0d8f939, name: Winding_10_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847007
mRID: 8719953a-d1cf-4293-a440-b491a400713d, name: Winding_10_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847007
mRID: e33e463d-460c-44d5-866f-e1ef31fd392b, name: Transformer_10, additional: POWERTR_AUTO: 0
mRID: c90040ca-c748-43fe-aefa-75f2ac44c98a, name: Winding_11_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847010
mRID: 39167ee0-3a26-468e-9315-ead2c3e523d1, name: Winding_11_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847010
mRID: 38b74052-19fa-431f-9aa0-809ff77226d6, name: Transformer_11, additional: POWERTR_AUTO: 0
mRID: 450d577e-5e4d-483e-8240-507aaf3d2218, name: Winding_12_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847013
mRID: ecd378ba-95b9-4a17-b07e-082efe2abab5, name: Winding_12_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847013
mRID: db6599aa-fd23-414d-8a1c-a68d96729ae3, name: Transformer_12, additional: POWERTR_AUTO: 0
mRID: 89ef360b-64bb-43d7-a7c7-713839faecac, name: Winding_13_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847016
mRID: 77cea865-28d9-405b-9e84-afc25db0b982, name: Winding_13_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847016
mRID: 791040d6-9d3f-4b04-a656-cce52028ce86, name: Transformer_13, additional: POWERTR_AUTO: 0
mRID: 17f2b20e-b54d-4906-8566-29cc1d2be1f2, name: Winding_14_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847019
mRID: 982caee4-5b29-4928-932b-03cf610afe19, name: Winding_14_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847019
mRID: 8b50edb4-db74-4bce-896f-1903082bb039, name: Transformer_14, additional: POWERTR_AUTO: 0
mRID: ee42467c-146e-4a08-b29c-4468ac070ec0, name: Winding_15_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847022
mRID: bb6b06e6-3e4c-4963-a739-32a7094cdc75, name: Winding_15_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847022
mRID: 4818de4b-fbc7-4682-9e5f-78d797a578d2, name: Transformer_15, additional: POWERTR_AUTO: 0
mRID: d5e95358-b8d6-4ffd-9bbc-1ccdd6ae70ef, name: Winding_16_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847025
mRID: 0d34e4b6-a932-4ecd-be83-42a9ac198552, name: Winding_16_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847025
mRID: fd8bfcc1-77a3-4bd4-ac57-17421fd10d38, name: Transformer_16, additional: POWERTR_AUTO: 0
mRID: 33ef6a43-1ccd-4c19-bde3-349c29f89dfd, name: Winding_17_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847028
mRID: 937570b8-f2d6-4099-b15f-343e38fe7ca5, name: Winding_17_1, additional: POWERTRWINDING_POWERTRW: 1152921504606847028
mRID: beb2a579-0903-4844-b8af-2cec73cad886, name: Transformer_17, additional: POWERTR_AUTO: 0
mRID: 531f5835-2391-434c-9316-27dbd8541306, name: Winding_18_0, additional: POWERTRWINDING_POWERTRW: 1152921504606847031
